,center_card,cards_pickUp,what_played,total_red,total_green,total_blue,total_yellow
0,"[['Green', '4'], ['Blue', '9'], ['Yellow', '5'], ['Red', '8'], ['Yellow', 'Reverse'], ['Green', '5']]",102,[],0,0,0,0
1,"[['Red', '6'], ['Wild', 'Wild'], ['Wild', 'Wild'], ['Yellow', '9'], ['Red', 'Reverse'], ['Yellow', '7']]",102,[],0,0,0,0
2,"[['Green', '6'], ['Red', '7'], ['Red', '7'], ['Yellow', '4'], ['Blue', '5']]",105,[],0,0,0,0
3,"[['Green', '9'], ['Blue', '4'], ['Red', '7'], ['Wild', 'Wild'], ['Wild', 'Four'], ['Green', '5'], ['Blue', '0'], ['Blue', '0'], ['Blue', '5'], ['Wild', 'Wild'], ['Yellow', 'Reverse'], ['Red', '5'], ['Green', 'Reverse'], ['Yellow', '9'], ['Yellow', '9'], ['Blue', '4'], ['Red', '3'], ['Green', '1'], ['Wild', 'Wild']]",118,[],0,0,0,0
4,"[['Green', '5'], ['Yellow', '8']]",103,[],0,0,0,0
5,"[['Blue', '8'], ['Blue', 'Reverse'], ['Blue', '2'], ['Green', '9'], ['Red', '3'], ['Red', '7'], ['Blue', '3']]",102,[],0,0,0,0
6,"[['Green', '7'], ['Red', '8'], ['Blue', '9'], ['Yellow', '3'], ['Yellow', 'Reverse'], ['Blue', 'Reverse'], ['Red', 'Reverse'], ['Red', 'Reverse'], ['Red', '2'], ['Red', '9'], ['Yellow', '9'], ['Red', '4'], ['Green', 'Reverse'], ['Blue', '8'], ['Blue', '7'], ['Green', '8'], ['Green', '9'], ['Red', '2'], ['Red', '5'], ['Yellow', 'Reverse']]",115,[],0,0,0,0
7,"[['Yellow', 'Reverse'], ['Wild', 'Wild'], ['Yellow', '6'], ['Yellow', '0'], ['Green', 'Reverse'], ['Yellow', 'Reverse'], ['Blue', '1'], ['Red', '9'], ['Red', 'Reverse'], ['Wild', 'Wild'], ['Yellow', '9'], ['Green', '5'], ['Wild', 'Four'], ['Green', 'Reverse'], ['Blue', '2'], ['Yellow', '2'], ['Yellow', '8'], ['Yellow', '6'], ['Blue', '8'], ['Red', '0'], ['Red', '3'], ['Red', '0'], ['Blue', '8'], ['Wild', 'Wild'], ['Green', '2'], ['Red', '6'], ['Blue', '5'], ['Yellow', '1']]",91,[],0,0,0,0
8,"[['Red', 'Reverse'], ['Yellow', 'Reverse'], ['Green', '1'], ['Green', 'Reverse'], ['Blue', '0'], ['Yellow', '3'], ['Red', '1'], ['Red', '5'], ['Yellow', 'Reverse'], ['Yellow', '2'], ['Red', '8'], ['Wild', 'Four'], ['Blue', '4'], ['Wild', 'Wild'], ['Green', '7'], ['Green', '4'], ['Blue', '5'], ['Yellow', '9'], ['Blue', '3'], ['Blue', 'Reverse'], ['Green', '9'], ['Red', '9'], ['Blue', '3'], ['Blue', 'Reverse'], ['Green', 'Reverse'], ['Blue', 'Reverse'], ['Yellow', '6'], ['Yellow', 'Reverse'], ['Red', '8'], ['Red', '4'], ['Green', '3'], ['Wild', 'Wild'], ['Green', '6'], ['Yellow', '8'], ['Yellow', 'Reverse'], ['Blue', '2'], ['Red', '7'], ['Red', '0'], ['Blue', '3'], ['Yellow', 'Reverse'], ['Red', '0'], ['Red', '7'], ['Yellow', '5'], ['Green', '2'], ['Red', '8'], ['Green', 'Reverse'], ['Blue', '4']]",119,[],0,0,0,0
9,"[['Yellow', '3'], ['Yellow', '6'], ['Yellow', '6'], ['Blue', '9'], ['Yellow', '6'], ['Yellow', '6'], ['Yellow', '6'], ['Red', '4'], ['Green', '3'], ['Red', '3']]",100,[],0,0,0,0
10,"[['Red', 'Reverse'], ['Blue', 'Reverse'], ['Yellow', '4'], ['Red', '3'], ['Yellow', 'Reverse'], ['Wild', 'Wild'], ['Green', 'Reverse'], ['Green', 'Reverse'], ['Wild', 'Wild'], ['Blue', '8'], ['Yellow', '0'], ['Green', '3'], ['Green', '6'], ['Red', 'Reverse'], ['Red', '6'], ['Yellow', '6'], ['Green', '7'], ['Wild', 'Wild'], ['Wild', 'Four'], ['Green', '6'], ['Green', '2'], ['Yellow', '8'], ['Yellow', '8'], ['Red', '1'], ['Red', '2'], ['Red', '5'], ['Blue', 'Reverse'], ['Blue', 'Reverse'], ['Red', '3'], ['Red', '3'], ['Red', '7'], ['Yellow', '5'], ['Blue', '4'], ['Yellow', '3'], ['Green', '9'], ['Blue', 'Reverse'], ['Wild', 'Wild'], ['Yellow', '2'], ['Green', '2'], ['Blue', '9'], ['Yellow', '6'], ['Green', 'Reverse'], ['Red', '7'], ['Blue', '8'], ['Yellow', 'Reverse'], ['Yellow', 'Reverse'], ['Green', '7'], ['Blue', 'Reverse'], ['Red', 'Reverse'], ['Wild', 'Wild'], ['Green', '7'], ['Blue', '4'], ['Yellow', '4'], ['Red', 'Reverse'], ['Green', 'Reverse']]",93,[],0,0,0,0
11,"[['Red', '1'], ['Green', '5'], ['Green', '4'], ['Yellow', '4'], ['Red', 'Reverse'], ['Red', '4'], ['Blue', '2'], ['Wild', 'Wild'], ['Blue', '5'], ['Yellow', '5'], ['Red', '3'], ['Blue', '2'], ['Red', '8'], ['Blue', 'Reverse'], ['Yellow', 'Reverse'], ['Red', '1'], ['Wild', 'Wild'], ['Wild', 'Wild'], ['Red', '3'], ['Green', '3'], ['Yellow', '1'], ['Green', '9'], ['Red', 'Reverse'], ['Green', '8'], ['Red', '4'], ['Green', '3'], ['Blue', 'Reverse'], ['Blue', '2'], ['Yellow', '5'], ['Wild', 'Wild'], ['Green', '1'], ['Red', 'Reverse'], ['Yellow', 'Reverse'], ['Green', 'Reverse'], ['Blue', '1'], ['Red', '1']]",127,[],0,0,0,0
12,"[['Red', '8'], ['Red', 'Reverse'], ['Blue', '4'], ['Red', '8'], ['Blue', '5'], ['Green', '7'], ['Yellow', '2']]",99,[],0,0,0,0
13,"[['Blue', '9'], ['Blue', '0'], ['Red', '8'], ['Red', '5'], ['Green', '4']]",99,[],0,0,0,0
14,"[['Yellow', '4'], ['Yellow', '6'], ['Green', '6'], ['Yellow', '9'], ['Green', '6'], ['Green', '6'], ['Yellow', 'Reverse'], ['Green', 'Reverse'], ['Blue', 'Reverse'], ['Yellow', '4'], ['Blue', 'Reverse'], ['Wild', 'Wild'], ['Blue', '1'], ['Red', '5']]",98,[],0,0,0,0
15,"[['Red', '1'], ['Yellow', '1'], ['Wild', 'Wild'], ['Red', '3'], ['Yellow', '7'], ['Green', '1'], ['Yellow', '3'], ['Yellow', '8'], ['Wild', 'Wild'], ['Red', '6'], ['Yellow', '2'], ['Red', 'Reverse'], ['Blue', '8'], ['Red', '5'], ['Blue', '8'], ['Yellow', '5'], ['Blue', 'Reverse'], ['Green', '3'], ['Green', '9'], ['Green', '2'], ['Yellow', '6'], ['Green', 'Reverse'], ['Blue', '7'], ['Green', '9'], ['Wild', 'Wild'], ['Green', 'Reverse'], ['Blue', '4'], ['Green', '4'], ['Green', '4'], ['Red', '2'], ['Blue', 'Reverse'], ['Red', '7'], ['Green', '8'], ['Blue', 'Reverse']]",121,[],0,0,0,0
16,"[['Green', '0'], ['Red', '0'], ['Blue', '4'], ['Red', '6'], ['Blue', '3'], ['Blue', '9'], ['Yellow', 'Reverse'], ['Wild', 'Wild'], ['Red', '9'], ['Yellow', '8'], ['Yellow', '1'], ['Red', '9'], ['Red', '2']]",103,[],0,0,0,0
17,"[['Green', '6'], ['Red', '2'], ['Yellow', 'Reverse'], ['Yellow', '2']]",108,[],0,0,0,0
18,"[['Green', '2'], ['Red', '3']]",103,[],0,0,0,0
19,"[['Blue', '5'], ['Red', '1'], ['Blue', '9'], ['Red', '6'], ['Green', 'Reverse'], ['Blue', '1'], ['Green', '7'], ['Wild', 'Wild'], ['Red', '4'], ['Blue', '3'], ['Wild', 'Wild'], ['Red', 'Reverse'], ['Green', '7'], ['Green', '3'], ['Blue', '4'], ['Green', 'Reverse'], ['Green', '3'], ['Green', 'Reverse'], ['Blue', '2'], ['Wild', 'Wild'], ['Red', '9'], ['Blue', '7'], ['Wild', 'Four'], ['Red', '1'], ['Yellow', '1'], ['Yellow', '0'], ['Blue', '9'], ['Green', 'Reverse'], ['Green', '6']]",113,[],0,0,0,0
20,"[['Blue', 'Reverse'], ['Green', '2'], ['Green', '9'], ['Red', 'Reverse'], ['Yellow', '8'], ['Red', '1'], ['Wild', 'Wild'], ['Red', '3'], ['Red', 'Reverse'], ['Green', '8'], ['Green', '1'], ['Blue', '7'], ['Green', '1'], ['Red', '8']]",100,[],0,0,0,0
21,"[['Green', '1'], ['Red', '0'], ['Red', '5']]",102,[],0,0,0,0
22,"[['Yellow', '8'], ['Red', '6'], ['Blue', '6'], ['Red', '9'], ['Blue', 'Reverse'], ['Blue', '7'], ['Wild', 'Wild'], ['Yellow', '7'], ['Green', '7'], ['Blue', '9'], ['Blue', '2'], ['Blue', '9'], ['Yellow', 'Reverse'], ['Blue', '5'], ['Yellow', '6'], ['Blue', '5'], ['Wild', 'Wild'], ['Yellow', 'Reverse'], ['Green', '6'], ['Blue', '0'], ['Blue', '8'], ['Red', '7'], ['Blue', '1'], ['Red', '5'], ['Blue', '9'], ['Blue', '6'], ['Yellow', '9'], ['Red', '2'], ['Red', '8']]",119,[],0,0,0,0
23,"[['Blue', '0'], ['Yellow', 'Reverse'], ['Red', 'Reverse'], ['Blue', '0'], ['Wild', 'Four'], ['Red', '4'], ['Blue', '6'], ['Yellow', '3'], ['Green', 'Reverse'], ['Red', '2']]",105,[],0,0,0,0
24,"[['Red', '2'], ['Blue', '1']]",102,[],0,0,0,0
25,"[['Wild', 'Four']]",100,[],0,0,0,0
26,"[['Red', '9'], ['Yellow', 'Reverse']]",102,[],0,0,0,0
27,"[['Yellow', '0'], ['Yellow', '1'], ['Yellow', 'Reverse'], ['Red', '9']]",111,[],0,0,0,0
